QuestionText,Values Text,Total,"Age - 18-34
(Millennial)","Age - 35+
(Non-Millennial)",NOY - 0-5,NOY - 6-20,NOY - 21+,Res - Yes,Res - No,Central - Yes,Central - No
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),Traffic/ Roads/ Transportation,0.82,0.78,0.85,0.85,0.85,0.79,0.82,0.83,0.79,0.83
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),Affordability/ Cost of Living/ Affordable Housing/ Gentrification,0.5,0.45,0.53,0.43,0.51,0.52,0.56,0.44,0.59,0.47
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),Population Growth,0.24,0.26,0.23,0.24,0.22,0.25,0.23,0.25,0.2,0.25
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),Jobs/ Wages/ Unemployment/ Poverty/ Homelessness,0.17,0.23,0.14,0.18,0.13,0.18,0.2,0.14,0.21,0.16
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),Education,0.12,0.15,0.11,0.1,0.14,0.12,0.13,0.11,0.12,0.12
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),Water/Drought,0.11,0.06,0.13,0.11,0.14,0.08,0.11,0.1,0.09,0.11
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),Crime,0.1,0.1,0.1,0.1,0.08,0.11,0.08,0.12,0.06,0.11
Q1.  What do you think are the three most important problems facing Austin today? (Open-ended responses are reported as coded.),None of these,0.05,0.07,0.04,0.06,0.03,0.06,0.04,0.05,0.04,0.05
Q2. Do you think Austin is...,Doing a good job of remaining unique from other major U.S. cities,0.38,0.5,0.32,0.5,0.35,0.35,0.4,0.37,0.4,0.38
Q2. Do you think Austin is...,Unique but becoming more similar to other major U.S. cities,0.49,0.44,0.51,0.44,0.51,0.5,0.52,0.46,0.55,0.47
Q2. Do you think Austin is...,Similar to other major U.S. cities,0.13,0.06,0.17,0.06,0.14,0.15,0.08,0.18,0.06,0.15
Q3. Do you believe Austin is at risk of losing its appeal because of the rising cost of living?,"Yes, definitely",0.54,0.47,0.57,0.41,0.53,0.59,0.54,0.53,0.55,0.53
